source,target,value
Massimiliano Culpo,var/spack/repos/builtin/packages/hwloc/package.py,1.23
Massimiliano Culpo,lib/spack/llnl/util/lang.py,0.91
Massimiliano Culpo,lib/spack/spack/test/concretize.py,31.77
Massimiliano Culpo,var/spack/repos/builtin/packages/espresso/package.py,1.24
Massimiliano Culpo,lib/spack/spack/test/cmd/graph.py,3.21
Massimiliano Culpo,lib/spack/spack/test/cmd/versions.py,0.32
Massimiliano Culpo,lib/spack/spack/test/database.py,0.72
Massimiliano Culpo,lib/spack/spack/test/spec_syntax.py,7.21
Massimiliano Culpo,lib/spack/spack/cmd/install.py,0.75
Massimiliano Culpo,lib/spack/spack/spec.py,0.55
Massimiliano Culpo,lib/spack/spack/cmd/spec.py,0.67
Massimiliano Culpo,bin/spack,0.93
Massimiliano Culpo,lib/spack/external/__init__.py,0.15
Massimiliano Culpo,lib/spack/spack/config.py,2.19
Massimiliano Culpo,lib/spack/spack/test/config.py,23.25
Massimiliano Culpo,lib/spack/spack/build_environment.py,2.02
Massimiliano Culpo,lib/spack/spack/package.py,0.66
Massimiliano Culpo,lib/spack/spack/cmd/__init__.py,2.0
Massimiliano Culpo,var/spack/repos/builtin/packages/flux/package.py,0.87
Massimiliano Culpo,var/spack/repos/builtin/packages/py-brian2/package.py,0.87
Massimiliano Culpo,var/spack/repos/builtin/packages/py-elephant/package.py,0.87
Massimiliano Culpo,var/spack/repos/builtin/packages/py-pythonqwt/package.py,0.86
Massimiliano Culpo,var/spack/repos/builtin/packages/py-qtconsole/package.py,0.86
Massimiliano Culpo,var/spack/repos/builtin/packages/star-ccm-plus/package.py,0.87
Massimiliano Culpo,lib/spack/docs/tutorial_modules.rst,3.21
Massimiliano Culpo,lib/spack/llnl/util/filesystem.py,4.96
Massimiliano Culpo,lib/spack/spack/cmd/common/arguments.py,2.0
Massimiliano Culpo,var/spack/repos/builtin/packages/plumed/package.py,0.83
Massimiliano Culpo,var/spack/repos/builtin/packages/git/package.py,1.0
Massimiliano Culpo,lib/spack/spack/environment.py,1.16
Massimiliano Culpo,etc/spack/defaults/config.yaml,0.67
Massimiliano Culpo,lib/spack/spack/__init__.py,1.74
Massimiliano Culpo,lib/spack/spack/build_systems/r.py,2.55
Massimiliano Culpo,lib/spack/spack/build_systems/waf.py,5.58
Massimiliano Culpo,lib/spack/spack/schema/modules.py,0.27
Massimiliano Culpo,lib/spack/spack/test/modules.py,12.11
Massimiliano Culpo,lib/spack/spack/test/util/prefix.py,0.88
Massimiliano Culpo,var/spack/repos/builtin/packages/r-rmpi/package.py,0.85
Massimiliano Culpo,var/spack/repos/builtin/packages/adios/package.py,0.73
Massimiliano Culpo,lib/spack/spack/build_systems/autotools.py,10.54
Massimiliano Culpo,var/spack/repos/builtin.mock/packages/a/package.py,0.67
Massimiliano Culpo,lib/spack/spack/cmd/find.py,2.47
Massimiliano Culpo,lib/spack/spack/cmd/info.py,0.12
Massimiliano Culpo,lib/spack/spack/cmd/list.py,2.46
Massimiliano Culpo,lib/spack/spack/repository.py,0.86
Massimiliano Culpo,lib/spack/spack/cmd/env.py,2.82
Massimiliano Culpo,lib/spack/spack/directives.py,1.85
Massimiliano Culpo,lib/spack/spack/patch.py,1.51
Massimiliano Culpo,lib/spack/spack/test/optional_deps.py,0.92
Massimiliano Culpo,lib/spack/spack/test/spec_dag.py,41.54
Veselin Dobrev,var/spack/repos/builtin/packages/libceed/package.py,1.8
Veselin Dobrev,var/spack/repos/builtin/packages/ceed/package.py,5.82
Veselin Dobrev,var/spack/repos/builtin/packages/mfem/package.py,12.03
Veselin Dobrev,var/spack/repos/builtin/packages/petsc/package.py,0.82
Veselin Dobrev,var/spack/repos/builtin/packages/occa/package.py,1.26
Veselin Dobrev,var/spack/repos/builtin/packages/hpgmg/package.py,0.8
Veselin Dobrev,var/spack/repos/builtin/packages/laghos/package.py,1.37
Gregory L. Lee,lib/spack/spack/build_systems/python.py,0.84
Gregory L. Lee,var/spack/repos/builtin/packages/stat/package.py,1.0
Gregory L. Lee,var/spack/repos/builtin/packages/graphlib/package.py,0.85
Gregory L. Lee,var/spack/repos/builtin/packages/freetype/package.py,0.82
Gregory L. Lee,var/spack/repos/builtin/packages/intel/package.py,0.5
Gregory L. Lee,lib/spack/spack/hooks/licensing.py,0.93
Gregory L. Lee,var/spack/packages/hdf5/package.py,0.8
Gregory L. Lee,lib/spack/spack/packages/launchmon/__init__.py,0.96
Gregory L. Lee,lib/spack/spack/util/executable.py,0.87
Gregory L. Lee,lib/spack/spack/util/prefix.py,1.06
Tzanio,var/spack/repos/builtin/packages/libceed/package.py,1.18
Tzanio,var/spack/repos/builtin/packages/ceed/package.py,1.97
Tzanio,var/spack/repos/builtin/packages/petsc/package.py,1.0
Tzanio,var/spack/repos/builtin/packages/hpgmg/package.py,1.56
Tzanio,var/spack/repos/builtin/packages/magma/package.py,2.31
Michael Kuhn,var/spack/repos/builtin/packages/json-c/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/likwid/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/flex/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/gtkplus/package.py,0.63
Michael Kuhn,var/spack/repos/builtin/packages/autoconf/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/canu/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/repeatmasker/package.py,0.81
Michael Kuhn,var/spack/repos/builtin/packages/vcftools/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/glib/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/openssl/package.py,0.89
Michael Kuhn,lib/spack/spack/fetch_strategy.py,0.89
Michael Kuhn,lib/spack/spack/build_systems/autotools.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/applewmproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/appres/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/atk/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/autogen/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/bdftopcf/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/beforelight/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/bigreqsproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/bitmap/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/cairo/package.py,1.69
Michael Kuhn,var/spack/repos/builtin/packages/compositeproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/constype/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/cscope/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/czmq/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/damageproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/dmxproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/dri2proto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/dri3proto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/editres/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/emacs/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/encodings/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/evieext/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/exonerate/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/fixesproto/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/folly/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-adobe-100dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-adobe-75dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-adobe-utopia-100dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-adobe-utopia-75dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-adobe-utopia-type1/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-alias/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-arabic-misc/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bh-100dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bh-75dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bh-lucidatypewriter-100dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bh-lucidatypewriter-75dpi/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bh-ttf/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bh-type1/package.py,0.89
Michael Kuhn,var/spack/repos/builtin/packages/font-bitstream-100dpi/package.py,0.89
Levi Baber,lib/spack/spack/cmd/module.py,0.75
Federico Ficarelli,var/spack/repos/builtin/packages/tcl/package.py,0.69
Federico Ficarelli,lib/spack/spack/cmd/install.py,2.29
Federico Ficarelli,var/spack/repos/builtin/packages/dia/package.py,0.91
Federico Ficarelli,var/spack/repos/builtin/packages/emacs/package.py,0.95
Federico Ficarelli,var/spack/repos/builtin/packages/gtkplus/package.py,0.7
Federico Ficarelli,var/spack/repos/builtin/packages/icedtea/package.py,1.9
Federico Ficarelli,var/spack/repos/builtin/packages/py-pygtk/package.py,0.94
Kelly (KT) Thompson,lib/spack/spack/test/module_parsing.py,0.82
Kelly (KT) Thompson,var/spack/repos/builtin/packages/glib/package.py,2.0
Cameron Smith,var/spack/repos/builtin/packages/pumi/package.py,0.5
Yifan Zhu,var/spack/repos/builtin/packages/r-igraph/package.py,0.83
Yifan Zhu,var/spack/repos/builtin/packages/r-matrix/package.py,0.78
Yifan Zhu,var/spack/repos/builtin/packages/r-hexbin/package.py,0.86
Yifan Zhu,var/spack/repos/builtin/packages/r-biobase/package.py,1.04
Stephen McDowell,var/spack/repos/builtin/packages/armadillo/package.py,0.83
Todd Gamblin,lib/spack/spack/graph.py,3.01
Todd Gamblin,lib/spack/spack/package.py,0.67
Todd Gamblin,lib/spack/spack/cmd/buildcache.py,0.87
Todd Gamblin,lib/spack/spack/cmd/diy.py,2.9
Todd Gamblin,lib/spack/spack/cmd/gpg.py,0.88
Todd Gamblin,lib/spack/spack/cmd/setup.py,1.68
Todd Gamblin,var/spack/repos/builtin/packages/r-dbi/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-dorng/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-downloader/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-dplyr/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-futile-logger/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-getoptlong/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-ggvis/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-glmnet/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-hms/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-htmltools/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-httpuv/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-hwriter/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-jsonlite/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-lattice/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-locfit/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-matrix/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-matrixstats/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-memoise/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-mpm/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-nor1mix/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-pkgconfig/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-r6/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-rcpp/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-rcurl/package.py,0.89
Todd Gamblin,var/spack/repos/builtin/packages/r-shiny/package.py,0.88
Todd Gamblin,var/spack/repos/builtin/packages/r-tibble/package.py,0.88
Todd Gamblin,lib/spack/spack/relocate.py,0.89
Todd Gamblin,lib/spack/docs/contribution_guide.rst,4.85
Todd Gamblin,lib/spack/docs/known_issues.rst,2.72
Todd Gamblin,lib/spack/docs/workflows.rst,4.58
Todd Gamblin,lib/spack/llnl/util/lock.py,7.63
Todd Gamblin,lib/spack/spack/build_systems/__init__.py,0.88
Todd Gamblin,lib/spack/spack/build_systems/aspell_dict.py,0.89
Todd Gamblin,lib/spack/spack/build_systems/autotools.py,0.83
Todd Gamblin,lib/spack/spack/build_systems/cmake.py,0.88
Todd Gamblin,lib/spack/spack/build_systems/intel.py,0.89
Todd Gamblin,lib/spack/spack/build_systems/perl.py,0.88
Todd Gamblin,lib/spack/spack/build_systems/python.py,0.25
Todd Gamblin,lib/spack/spack/build_systems/qmake.py,0.89
Todd Gamblin,lib/spack/spack/build_systems/r.py,0.88
Todd Gamblin,lib/spack/spack/build_systems/scons.py,0.89
Todd Gamblin,lib/spack/spack/build_systems/waf.py,0.88
Todd Gamblin,lib/spack/spack/cmd/clone.py,2.37
Todd Gamblin,lib/spack/spack/cmd/common/__init__.py,0.88
Denis Davydov,var/spack/repos/builtin/packages/fftw/package.py,0.87
Denis Davydov,var/spack/repos/builtin/packages/intel-parallel-studio/package.py,0.82
Denis Davydov,var/spack/repos/builtin/packages/libxsmm/package.py,1.25
Denis Davydov,var/spack/repos/builtin/packages/netlib-xblas/package.py,0.75
Denis Davydov,var/spack/repos/builtin/packages/suite-sparse/package.py,0.67
Denis Davydov,var/spack/repos/builtin/packages/py-numpy/package.py,1.1
Denis Davydov,var/spack/repos/builtin/packages/elpa/package.py,0.93
Denis Davydov,var/spack/repos/builtin/packages/gnuplot/package.py,1.58
Denis Davydov,var/spack/repos/builtin/packages/boost/package.py,7.0
Denis Davydov,var/spack/repos/builtin/packages/elemental/package.py,11.56
Denis Davydov,var/spack/repos/builtin/packages/expat/package.py,0.61
Denis Davydov,var/spack/repos/builtin/packages/lammps/package.py,0.79
Denis Davydov,lib/spack/spack/build_environment.py,0.96
Denis Davydov,var/spack/repos/builtin/packages/cantera/package.py,0.24
Denis Davydov,var/spack/repos/builtin/packages/ipopt/package.py,0.12
Denis Davydov,var/spack/repos/builtin/packages/mfem/package.py,0.4
Denis Davydov,var/spack/repos/builtin/packages/netlib-lapack/package.py,0.6
Denis Davydov,var/spack/repos/builtin/packages/tar/gnutar-configure-xattrs.patch,0.85
Denis Davydov,lib/spack/llnl/util/filesystem.py,0.82
Denis Davydov,lib/spack/spack/concretize.py,0.78
Denis Davydov,var/spack/repos/builtin/packages/arpack-ng/parpack_cmake.patch,1.0
Denis Davydov,var/spack/repos/builtin/packages/openblas/test_cblas_dgemm.output,0.42
Denis Davydov,var/spack/repos/builtin/packages/oce/null.patch,0.48
Denis Davydov,var/spack/repos/builtin/packages/mumps/Makefile.inc,0.41
Denis Davydov,var/spack/repos/builtin/packages/eigen/package.py,0.67
Aaron Fisher,var/spack/repos/builtin/packages/ceed/package.py,0.37
Patrick Gartung,lib/spack/spack/package.py,0.87
Patrick Gartung,var/spack/repos/builtin/packages/libgcrypt/package.py,0.63
Patrick Gartung,var/spack/repos/builtin/packages/libgpg-error/package.py,0.69
Patrick Gartung,var/spack/repos/builtin/packages/heppdt/package.py,1.0
sknigh,var/spack/repos/builtin/packages/py-csvkit/package.py,0.79
sknigh,var/spack/repos/builtin/packages/flex/package.py,0.71
Eric,var/spack/repos/builtin/packages/r-rcurl/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-dbi/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-dorng/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-downloader/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-futile-logger/package.py,0.21
Eric,var/spack/repos/builtin/packages/r-getoptlong/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-ggvis/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-glmnet/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-htmltools/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-httpuv/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-hwriter/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-jsonlite/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-lattice/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-locfit/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-matrix/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-matrixstats/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-memoise/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-mpm/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-nor1mix/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-pkgconfig/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-r6/package.py,0.22
Eric,var/spack/repos/builtin/packages/r-shiny/package.py,0.22
Eric,lib/spack/spack/cmd/create.py,0.82
Eric,bin/sbang,0.85
scheibelp,lib/spack/spack/repository.py,1.32
scheibelp,lib/spack/spack/test/git_fetch.py,0.85
scheibelp,lib/spack/spack/test/hg_fetch.py,0.85
scheibelp,lib/spack/spack/test/svn_fetch.py,0.85
scheibelp,lib/spack/spack/binary_distribution.py,1.06
scheibelp,lib/spack/spack/relocate.py,4.85
scheibelp,lib/spack/spack/compiler.py,0.81
scheibelp,lib/spack/spack/concretize.py,4.96
scheibelp,lib/spack/spack/cmd/load.py,0.47
scheibelp,lib/spack/spack/cmd/unload.py,0.47
scheibelp,lib/spack/spack/cmd/unuse.py,0.47
scheibelp,lib/spack/spack/cmd/buildcache.py,1.56
scheibelp,lib/spack/spack/package_prefs.py,0.5
scheibelp,lib/spack/spack/test/conftest.py,0.66
scheibelp,lib/spack/spack/test/spec_dag.py,3.35
scheibelp,lib/spack/spack/build_systems/cmake.py,0.71
scheibelp,lib/spack/spack/test/cmd/dependents.py,0.79
scheibelp,lib/spack/spack/directory_layout.py,1.41
scheibelp,share/spack/spack-completion.bash,0.95
scheibelp,lib/spack/spack/compilers/__init__.py,1.66
scheibelp,lib/spack/spack/cmd/config.py,0.77
scheibelp,lib/spack/spack/test/cmd/test_compiler_cmd.py,2.43
scheibelp,lib/spack/spack/operating_systems/cnl.py,0.87
scheibelp,lib/spack/spack/fetch_strategy.py,2.45
scheibelp,lib/spack/docs/basic_usage.rst,0.54
scheibelp,lib/spack/spack/mirror.py,0.52
scheibelp,lib/spack/spack/modules.py,7.32
scheibelp,var/spack/repos/builtin/packages/boost/package.py,2.76
scheibelp,lib/spack/spack/url.py,0.67
scheibelp,lib/spack/spack/cmd/test.py,0.91
Axel Huebl,var/spack/repos/builtin/packages/protobuf/package.py,1.77
Axel Huebl,lib/spack/spack/cmd/flake8.py,3.45
Gregory Becker,lib/spack/spack/test/concretize.py,0.5
Gregory Becker,lib/spack/env/cc,3.27
Gregory Becker,lib/spack/spack/build_environment.py,1.06
Gregory Becker,lib/spack/spack/cmd/__init__.py,0.8
Gregory Becker,lib/spack/spack/compiler.py,0.18
Gregory Becker,lib/spack/spack/test/build_environment.py,0.82
Gregory Becker,lib/spack/spack/cmd/setup.py,2.24
Gregory Becker,lib/spack/spack/database.py,1.92
Gregory Becker,lib/spack/docs/basic_usage.rst,12.41
Gregory Becker,lib/spack/spack/repository.py,0.77
Gregory Becker,lib/spack/docs/Makefile,0.41
Gregory Becker,lib/spack/docs/basic_usage_tutorial.rst,8.34
Gregory Becker,var/spack/repos/builtin/packages/boost/package.py,0.91
Gregory Becker,lib/spack/spack/compilers/__init__.py,2.52
Gregory Becker,lib/spack/spack/test/config.py,2.89
Gregory Becker,lib/spack/spack/cmd/find.py,1.72
Gregory Becker,lib/spack/spack/cmd/uninstall.py,0.8
Gregory Becker,lib/spack/spack/test/spec_semantics.py,7.55
Gregory Becker,lib/spack/spack/test/spec_dag.py,0.9
Gregory Becker,lib/spack/docs/configuration.rst,1.95
Gregory Becker,lib/spack/docs/features.rst,2.33
Gregory Becker,lib/spack/spack/test/__init__.py,0.71
Gregory Becker,lib/spack/spack/test/multimethod.py,4.63
Gregory Becker,lib/spack/spack/modules.py,1.77
Gregory Becker,var/spack/repos/builtin/packages/libpciaccess/package.py,0.91
Gregory Becker,lib/spack/spack/cmd/compiler.py,0.71
Gregory Becker,lib/spack/spack/test/spec_yaml.py,2.67
Gregory Becker,var/spack/packages/graphviz/package.py,1.42
Gregory Becker,var/spack/packages/py-mock/package.py,0.5
Gregory Becker,var/spack/packages/adios/package.py,0.58
Gregory Becker,lib/spack/spack/platforms/bgq.py,0.8
Gregory Becker,lib/spack/spack/abi.py,1.58
Gregory Becker,lib/spack/spack/architectures/linux.py,1.25
Gregory Becker,lib/spack/spack/preferred_packages.py,0.87
Gregory Becker,lib/spack/spack/compilers/gcc.py,0.95
Gregory Becker,lib/spack/spack/compilers/intel.py,0.95
Gregory Becker,lib/spack/spack/variant.py,0.91
Gregory Becker,lib/spack/spack/cmd/deactivate.py,0.8
Gregory Becker,lib/spack/spack/cmd/diy.py,6.91
Gregory Becker,lib/spack/spack/cmd/extensions.py,0.93
Gregory Becker,lib/spack/spack/cmd/module.py,1.84
Greg Lee,var/spack/repos/builtin/packages/intel-parallel-studio/package.py,14.67
snehring,var/spack/repos/builtin/packages/ant/package.py,0.5
snehring,var/spack/repos/builtin/packages/antlr/package.py,0.88
snehring,var/spack/repos/builtin/packages/bazel/package.py,0.67
snehring,var/spack/repos/builtin/packages/beast2/package.py,0.5
snehring,var/spack/repos/builtin/packages/fastqc/package.py,0.75
snehring,var/spack/repos/builtin/packages/fseq/package.py,0.8
snehring,var/spack/repos/builtin/packages/gradle/package.py,0.5
snehring,var/spack/repos/builtin/packages/graphviz/package.py,0.82
snehring,var/spack/repos/builtin/packages/hadoop/package.py,0.75
snehring,var/spack/repos/builtin/packages/jmol/package.py,0.75
snehring,var/spack/repos/builtin/packages/maven/package.py,0.5
snehring,var/spack/repos/builtin/packages/nextflow/package.py,0.5
snehring,var/spack/repos/builtin/packages/octave/package.py,1.77
snehring,var/spack/repos/builtin/packages/opencv/package.py,0.82
snehring,var/spack/repos/builtin/packages/openmpi/package.py,1.71
snehring,var/spack/repos/builtin/packages/picard/package.py,1.73
snehring,var/spack/repos/builtin/packages/py-jpype/package.py,0.8
snehring,var/spack/repos/builtin/packages/r/package.py,0.5
snehring,var/spack/repos/builtin/packages/rose/package.py,0.82
snehring,var/spack/repos/builtin/packages/sbt/package.py,0.5
snehring,var/spack/repos/builtin/packages/scala/package.py,0.5
snehring,var/spack/repos/builtin/packages/spark/package.py,1.63
snehring,var/spack/repos/builtin/packages/stc/package.py,0.5
snehring,var/spack/repos/builtin/packages/thrift/package.py,1.3
Jim Galarowicz,var/spack/repos/builtin/packages/cbtf-argonavis/package.py,3.96
